"year","Country","Intensity_kgCO2/m2","abs_emissions_tCO2","Method"
2049,"New Zealand",76.9086651273801,31941360.2964036,"SDA"
2050,"New Zealand",0.101223265431034,42570.4363763681,"SDA"
2020,"Philippines",40605.53755,25342711191.6207,"SDA"
2021,"Philippines",38215.6993983075,24381812962.0054,"SDA"
2022,"Philippines",35144.6501775381,22918103837.2423,"SDA"
2023,"Philippines",32320.8304129742,21539500646.4385,"SDA"
2024,"Philippines",29575.75518096,20140052142.2693,"SDA"
2025,"Philippines",26836.1237788142,18670407232.0335,"SDA"
2026,"Philippines",24189.2898444319,17191103293.3393,"SDA"
2027,"Philippines",21631.8696536209,15702127567.8193,"SDA"
2028,"Philippines",19160.6277740185,14203489621.0593,"SDA"
2029,"Philippines",16771.9985561724,12694863408.6294,"SDA"
2030,"Philippines",14463.8209358136,11176894646.5849,"SDA"
2031,"Philippines",13093.9164455584,10328557155.7896,"SDA"
2032,"Philippines",11756.7374319336,9465118384.14009,"SDA"
2033,"Philippines",10452.1855156349,8587224052.79502,"SDA"
2034,"Philippines",9178.57871030998,7694228440.91474,"SDA"
2035,"Philippines",7935.82856129746,6786777269.65784,"SDA"
2036,"Philippines",6722.32692920926,5864224817.54675,"SDA"
2037,"Philippines",5537.99752391621,4927216806.05905,"SDA"
2038,"Philippines",4381.30455252583,3975107513.71717,"SDA"
2039,"Philippines",3252.18532709356,3008542662.09435,"SDA"
2040,"Philippines",2149.17439656232,2026876529.53444,"SDA"
2041,"Philippines",1899.71538084264,1826243167.54657,"SDA"
2042,"Philippines",1658.40965129217,1624861687.76309,"SDA"
2043,"Philippines",1425.6095072578,1423377811.94539,"SDA"
2044,"Philippines",1200.67855304578,1221468679.20483,"SDA"
2045,"Philippines",983.016607050143,1018811428.65268,"SDA"
2046,"Philippines",772.975150764526,816051782.053584,"SDA"
2047,"Philippines",569.670266517206,612544017.642942,"SDA"
2048,"Philippines",373.45212694245,408933857.217151,"SDA"
2049,"Philippines",183.479677859976,204575578.947915,"SDA"
2050,"Philippines",0.101223265431034,114904.663732884,"SDA"
2020,"Singapore",51500.35387,9971812580.91741,"SDA"
2021,"Singapore",48469.2999094756,9474655338.61979,"SDA"
2022,"Singapore",44574.2596127149,8782738524.09271,"SDA"
2023,"Singapore",40992.7827352424,8132266954.11618,"SDA"
2024,"Singapore",37524.1029153868,7491080633.72432,"SDA"
2025,"Singapore",34162.1286995125,6862339555.09847,"SDA"
2026,"Singapore",30901.2437209698,6246209803.59114,"SDA"
2027,"Singapore",27736.1754543442,5641282063.09884,"SDA"
2028,"Singapore",24662.04902269,5046532282.2066,"SDA"
2029,"Singapore",21599.0141036288,4445325095.92705,"SDA"
2030,"Singapore",18704.4551608332,3870283483.19555,"SDA"
2031,"Singapore",16941.7048525098,3522993174.77282,"SDA"
2032,"Singapore",15173.8204798463,3170011747.73762,"SDA"
2033,"Singapore",13504.4768777504,2833397592.99478,"SDA"
2034,"Singapore",11837.1537458824,2493388729.12448,"SDA"
2035,"Singapore",10250.2721625008,2166905526.09932,"SDA"
2036,"Singapore",8671.88662110838,1839194977.1477,"SDA"
2037,"Singapore",7158.17013212943,1522560819.96613,"SDA"
2038,"Singapore",5658.82117714893,1206718793.60792,"SDA"
2039,"Singapore",4210.32163603071,899813188.024757,"SDA"
2040,"Singapore",2781.52336088374,595563465.060086,"SDA"
2041,"Singapore",2465.3362541187,528666264.544957,"SDA"
2042,"Singapore",2152.50364667687,462129538.277009,"SDA"
2043,"Singapore",1855.90162985907,398796903.143785,"SDA"
2044,"Singapore",1567.94799689055,337112160.158266,"SDA"
2045,"Singapore",1284.54826388003,276257890.860198,"SDA"
2046,"Singapore",1013.46681070674,217960146.012609,"SDA"
2047,"Singapore",747.626246212136,160745333.567545,"SDA"
2048,"Singapore",491.854489780275,105696665.981829,"SDA"
2049,"Singapore",241.937662077986,51954256.1080785,"SDA"
2050,"Singapore",0.101223265431034,21717.7148799417,"SDA"
2020,"South Korea",40746.85837,110915923003.801,"SDA"
2021,"South Korea",38348.7027633601,105233107251.073,"SDA"
2022,"South Korea",35266.9652399052,97492745487.1828,"SDA"
2023,"South Korea",32433.3176158042,90264365899.5659,"SDA"
2024,"South Korea",29688.9144920189,83133304095.5319,"SDA"
2025,"South Korea",27028.9363391447,76105557198.061,"SDA"
2026,"South Korea",24448.9395143613,69186320990.8584,"SDA"
2027,"South Korea",21944.752420413,62379849207.6661,"SDA"
2028,"South Korea",19512.5180776382,55689709536.6775,"SDA"
2029,"South Korea",17089.0592873469,48948096800.9265,"SDA"
2030,"South Korea",14798.8978953623,42523017225.4612,"SDA"
2031,"South Korea",13404.2181601719,38623077778.3935,"SDA"
2032,"South Korea",12005.4763774751,34676992167.3924,"SDA"
